texto,categoria
proceso correspondiente a concepto jurídico institucional,Juridico
solicitud relacionada con memorando administrativo interno,Administrativo
se requiere incapacidad médica laboral,Talento_Humano
se requiere solicitud de paz y salvo,Academico
balance general financiero externo,Financiero
plan operativo institucional externo,Administrativo
documento asociado a reporte contable mensual,Financiero
documento asociado a comprobante de egreso,Financiero
documento asociado a reporte contable mensual,Financiero
urgente solicitud de certificado académico,Academico
solicitud relacionada con historial académico del estudiante,Academico
se requiere comprobante de egreso,Financiero
reporte de nómina confidencial,Talento_Humano
solicitud administrativa interna externo,Administrativo
urgente registro documental interno,Administrativo
documento asociado a control de inventario,Administrativo
oficial acta de comité institucional,Administrativo
interno proceso disciplinario,Juridico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
se requiere factura de pago institucional,Financiero
solicitud relacionada con certificado de estudios,Academico
acta de comité institucional institucional,Administrativo
se requiere solicitud de homologación de materias,Academico
memorando administrativo interno general,Administrativo
interno acta de grado universitario,Academico
documento asociado a solicitud de paz y salvo,Academico
proceso correspondiente a solicitud de presupuesto anual,Financiero
se requiere comunicado organizacional,Administrativo
solicitud relacionada con comunicado organizacional,Administrativo
solicitud relacionada con notificación judicial,Juridico
proceso correspondiente a solicitud de homologación de materias,Academico
proceso correspondiente a solicitud de paz y salvo,Academico
solicitud relacionada con estado financiero trimestral,Financiero
proceso correspondiente a acta de reunión administrativa,Administrativo
se requiere demanda administrativa,Juridico
solicitud relacionada con plan operativo institucional,Administrativo
solicitud relacionada con solicitud de paz y salvo,Academico
solicitud relacionada con solicitud de homologación de materias,Academico
documento asociado a reporte de nómina,Talento_Humano
se requiere orden de pago administrativa,Financiero
acción de tutela prioritario,Juridico
factura de pago institucional confidencial,Financiero
solicitud relacionada con documento legal contractual,Juridico
se requiere reporte contable mensual,Financiero
se requiere reporte de nómina,Talento_Humano
documento asociado a reporte de nómina,Talento_Humano
acta de grado universitario oficial,Academico
proceso correspondiente a contrato de prestación de servicios,Juridico
prioritario solicitud de homologación de materias,Academico
solicitud relacionada con solicitud de presupuesto anual,Financiero
contrato laboral interno,Talento_Humano
prioritario historial académico del estudiante,Academico
se requiere solicitud de paz y salvo,Academico
hoja de vida institucional urgente,Talento_Humano
general acción de tutela,Juridico
proceso correspondiente a matrícula académica ordinaria,Academico
proceso correspondiente a proceso disciplinario,Juridico
proceso correspondiente a acuerdo jurídico,Juridico
hoja de vida institucional confidencial,Talento_Humano
proceso correspondiente a certificación laboral,Talento_Humano
solicitud relacionada con factura de pago institucional,Financiero
historial académico del estudiante institucional,Academico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
se requiere demanda administrativa,Juridico
solicitud relacionada con registro documental interno,Administrativo
documento asociado a certificado de estudios,Academico
proceso correspondiente a reporte de gestión administrativa,Administrativo
oficial informe de tesorería,Financiero
solicitud relacionada con comunicado organizacional,Administrativo
se requiere derecho de petición,Juridico
se requiere proceso disciplinario,Juridico
solicitud relacionada con circular administrativa general,Administrativo
solicitud relacionada con documento legal contractual,Juridico
externo acción de tutela,Juridico
